name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage
Joseph Tsai,Tsai,joseph-tsai,joseph-tsai,26.058,53,e-commerce,Technology,M,Canada,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/5877bd9ca7ea431d601ca080/416x416.jpg?background=000000&cropX1=108&cropX2=649&cropY1=77&cropY2=618
Tsai Eng-Meng,Tsai,tsai-eng-meng,tsai-eng-meng,-57.147,60,"food, beverages",Food and Beverage,M,Taiwan,,1488028803343,,,,,,
Maria Asuncion Aramburuzabala & family,Aramburuzabala,maria-asuncion-aramburuzabala,maria-asuncion-aramburuzabala,4.265,53,"beer, investments",Food and Beverage,F,Mexico,,1488028803343,,,,,,
Ludwig Merckle,Merckle,ludwig-merckle,ludwig-merckle,-19.167,52,pharmaceuticals,Finance and Investments,M,Germany,,1488028803343,,,,,,
Lu Guanqiu & family,Lu,lu-guanqiu,lu-guanqiu,0.092,72,conglomerate,Diversified,M,China,,1488028803343,,Zhejiang,,,,
Pan Zhengmin & family,Pan,pan-zhengmin,pan-zhengmin,-261.733,47,electronics,Technology,M,China,,1488028803343,,Guangdong,,,,http://specials-images.forbesimg.com/imageserve/dfce665118055be3bc5b3adcbcaf8c4f/416x416.jpg?background=000000&cropX1=151&cropX2=673&cropY1=255&cropY2=777
Yan Zhi,Yan,yan-zhi,yan-zhi,1.068,44,real estate,Real Estate,M,China,,1488028803343,,Hubei,,,,
Whitney MacMillan,MacMillan,whitney-macmillan,whitney-macmillan,0,87,Cargill,Food and Beverage,M,United States,,1488028803343,MN,Minnesota,,,,http://specials-images.forbesimg.com/imageserve/16a0f086c025bdce59c284f3d75123e0/416x416.jpg?background=000000&cropX1=156&cropX2=588&cropY1=93&cropY2=525
Richard DeVos & family,DeVos,richard-devos,richard-devos,0,90,Amway,Service,M,United States,,1488028803343,MI,Michigan,,,,http://specials-images.forbesimg.com/imageserve/57e05bec4bbe6f6781c5259e/416x416.jpg?background=000000&cropX1=219&cropX2=734&cropY1=15&cropY2=531
Stef Wertheimer & family,Wertheimer,stef-wertheimer,stef-wertheimer,0,90,metalworking tools,Manufacturing,M,Israel,,1488028803343,,,,,,
Nassef Sawiris,Sawiris,nassef-sawiris,nassef-sawiris,-103.912,56,"construction, chemicals",Construction & Engineering,M,Egypt,,1488028803343,,,,,,
