name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Wang Xing,Wang,wang-xing,wang-xing,0,44,e-commerce,Technology,M,China,1488028203331,3432.184,568,568,http://specials-images.forbesimg.com/imageserve/56c68294e4b062f6b59a1433/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=193&cropY2=937
Wang Zhenghua,Wang,wang-zhenghua,wang-zhenghua,38.696,72,budget airline,Service,M,China,1488028203332,1182.774,1679,1679,
Wichai Thongtang,Thongtang,wichai-thongtang,wichai-thongtang,-14.239,70,investments,Real Estate,M,Thailand,1488028203332,1520.572,1366,1366,
Willi & Isolde Liebherr & family,Liebherr,willi-isolde-liebherr,willi-isolde-liebherr,0,,construction,Construction & Engineering,,Switzerland,1488028203331,4754.994,350,350,
William Berkley,Berkley,william-berkley,william-berkley,-0.808,70,insurance,Finance and Investments,M,United States,1488028203332,1588.536,1318,1318,
William F. Austin,Austin,william-f-austin,william-f-austin,0,75,hearing aids,Manufacturing,M,United States,1488028203332,1405.846,1458,1458,
William Heinecke,Heinecke,william-heinecke,william-heinecke,20.999,68,hotels,Real Estate,M,Thailand,1488028203332,1473.645,1405,1405,http://specials-images.forbesimg.com/imageserve/5743467ca7ea4353698e1c81/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=45&cropY2=789
William Lauder,Lauder,william-lauder,no-pic,-3.484,56,Estee Lauder,Fashion & Retail,M,United States,1488028203332,1108.643,1750,1750,
William MacMillan,MacMillan,william-macmillan,no-pic,0,62,Cargill,Food and Beverage,M,United States,1488028203332,1239.254,1623,1626,
William Stone,Stone,william-stone,william-stone,-1.425,61,software,Technology,M,United States,1488028203332,1322.399,1544,1544,
William Young,Young,william-young,no-pic,0,76,plastics,Manufacturing,M,United States,1488028203331,2079,1003,1003,
Willibert Krueger,Krueger,willibert-krueger,no-pic,0,76,food processing,Food and Beverage,M,Germany,1488028203332,1664.358,1255,1255,
Willy Michel,Michel,willy-michel,willy-michel,0,70,medical devices,Healthcare,M,Switzerland,1488028203331,2034.83,1029,1029,
Wim Van Der Leegte,Van Der Leegte,wim-van-der-leegte,wim-van-der-leegte,0,69,manufacturing,Manufacturing,M,Netherlands,1488028203332,1206.864,1653,1653,
Wu Jianshu,Wu,wu-jianshu,no-pic,40.383,53,auto parts,Automotive,M,Hong Kong,1488028203331,2283.438,928,928,
Wu Xushun & family,Wu,wu-xushun,no-pic,103.121,68,"internet, auto parts",Diversified,M,China,1488028203332,1389.174,1478,1478,
Wu Zhigang & family,Wu,wu-zhigang,no-pic,7.134,82,bakery chain,Food and Beverage,M,China,1488028203331,2214.331,949,949,
Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,0,50,entertainment,Media & Entertainment,M,China,1488028203331,3011.085,672,672,
Xiu Laigui,Xiu,xiu-laigui,xiu-laigui,0,62,pharmaceuticals,Healthcare,M,China,1488028203332,1128.333,1729,1729,
Xu Chuanhua & family,Xu,xu-chuanhua,no-pic,-3.015,82,chemicals,Manufacturing,M,China,1488028203331,5943.44,250,250,
Xu Shihui & family,Xu,xu-shihui,xu-shihui,15.002,59,"snacks, beverages",Food and Beverage,M,China,1488028203331,6781.306,212,212,http://specials-images.forbesimg.com/imageserve/5809367ea7ea435b91b0477f/416x416.jpg?background=000000&cropX1=158&cropX2=530&cropY1=297&cropY2=669
Xu Ziquan & family,Xu,xu-ziquan,no-pic,1.221,58,software,Technology,M,China,1488028203332,1257.856,1609,1609,
Yang Zhimao & family,Yang,yang-zhimao,no-pic,10.711,54,"utilities, real estate",Diversified,M,China,1488028203332,1189.312,1671,1671,
Yao Xinyi,Yao,yao-xinyi,yao-xinyi,2.072,52,air conditioning,Diversified,M,China,1488028203332,1041.651,1813,1813,
Yao Zhenhua,Yao,yao-zhenhua,yao-zhenhua,-9.121,47,conglomerate,Diversified,M,China,1488028203331,8469.044,157,157,
Yi Zheng,Yi,yi-zheng,no-pic,9.286,46,software,Technology,M,China,1488028203331,1955.894,1084,1084,
Yoshiyuki Sankai,Sankai,yoshiyuki-sankai,yoshiyuki-sankai,-23.662,58,robotics,Technology,M,Japan,1488028203332,1332.454,1538,1538,
Yu Peidi,Yu,yu-peidi,yu-peidi,2.481,57,real estate,Real Estate,M,Hong Kong,1488028203332,1116.924,1742,1742,
Yu Yong,Yu,yu-yong,no-pic,-176.797,56,mining investments,Finance and Investments,M,China,1488028203331,3791.957,501,501,
Yuan Yafei,Yuan,yuan-yafei,yuan-yafei,-15.555,53,"retail, investments",Fashion & Retail,M,China,1488028203331,2308.836,913,913,
Yuri Shefler,Shefler,yuri-shefler,yuri-shefler,0,49,alcohol,Food and Beverage,M,Russia,1488028203332,1663.886,1256,1256,
Zan Shengda,Zan,zan-shengda,zan-shengda,-1.79,53,diversified,Diversified,M,China,1488028203332,1281.22,1584,1584,
Zeng Kaitian,Zeng,zeng-kaitian,no-pic,76.789,42,online games,Technology,M,China,1488028203332,1288.402,1573,1573,
Zhang Bangxin,Zhang,zhang-bangxin,no-pic,-0.595,37,after-school tutoring,Service,M,China,1488028203331,2538.319,814,814,
Zhang Desheng,Zhang,zhang-desheng,no-pic,-2.255,67,manufacturing,Manufacturing,M,China,1488028203332,1150.093,1704,1704,
Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,-3.168,67,advanced ceramics,Manufacturing,M,China,1488028203332,1183.073,1678,1678,
Zhang Zhangsun & family,Zhang,zhang-zhangsun,zhang-zhangsun,0,60,real estate,Real Estate,M,China,1488028203332,1273.431,1590,1590,
Zhao Xiaoqiang,Zhao,zhao-xiaoqiang,no-pic,-2.259,49,"fashion, entertainment",Fashion & Retail,M,China,1488028203332,1112.706,1745,1745,
Zheng Jianjiang & family,Zheng,zheng-jianjiang,zheng-jianjiang,5.098,56,electrical equipment,Manufacturing,M,China,1488028203332,1185.728,1673,1673,
Zheng Yuewen & family,Zheng,zheng-yuewen,zheng-yuewen,-2.957,55,investments,Diversified,M,China,1488028203331,1951.133,1088,1088,
Zhou Guohui,Zhou,zhou-guohui,zhou-guohui,0.001,52,logistics,Logistics,M,China,1488028203332,1267.082,1600,1600,
Zhou Jianping,Zhou,zhou-jianping,zhou-jianping,23.876,56,fashion retail,Fashion & Retail,M,China,1488028203331,3649.914,535,535,http://specials-images.forbesimg.com/imageserve/580943c3a7ea435b91b04804/416x416.jpg?background=000000&cropX1=16&cropX2=473&cropY1=119&cropY2=577
Zhou Mingjie,Zhou,zhou-mingjie,no-pic,0,59,lighting installations,Technology,M,China,1488028203332,1064.925,1789,1789,
Zhou Qunfei,Zhou,zhou-qunfei,zhou-qunfei,59.395,47,smartphone screens,Technology,F,Hong Kong,1488028203331,7577.531,185,185,http://specials-images.forbesimg.com/imageserve/55b921a4e4b05c2c34324354/416x416.jpg?background=000000&cropX1=10&cropX2=719&cropY1=95&cropY2=804
Zhou Yaoting & family,Zhou,zhou-yaoting,no-pic,6.629,73,"apparel, real estate",Diversified,M,China,1488028203331,2267.363,935,935,
Zhou Yifeng & family,Zhou,zhou-yifeng-1,no-pic,3.869,48,chemicals,Manufacturing,M,China,1488028203332,1169.134,1692,1692,
